filename,imagename,imageID,url,img_P,paperTitle,ifHumanFace,numOfSeg,Number of distinct color names,colorNames,sp,isTarget,hit,miss,fa,cr,name,HR,FAR,imagename,score,group,index,count,responseCount,Feature congestion,Entropy,Number of edges,0,Author,Paper Title,Paper URL,Paper DOI,Year,meanH,meanS,meanV,LAB avg.,the number of distinct colors congrong,the number of distinct colors(Rui),the number of distinct colors,the number of distinct colors2
2010 Kok 10.1109/TVCG.2010.134 c 2.png,bio314.png,I810,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio314.png,,,,2,15,"white, grey, pink, beige, tan, brown, salmon, peach, red, green, blue, teal, purple, lightblue, yellow",13.41712039,1,29,14,8,210,I810,0.6744,0.0367,bio314.png,2.242431211,1,810,216,76,4.7132,4.5002,6.7815,64,Peter Kok;Martin Baiker;Emile A. Hendriks;Frits H. Post;Jouke Dijkstra;Clemens W. G. M. L√∂wik;Boudewijn P. F. Lelieveldt;Charl P. Botha,Articulated Planar Reformation for Change Visualization in Small Animal Imaging,http://dx.doi.org/10.1109/TVCG.2010.134,10.1109/TVCG.2010.134,2010,0.050362819,0.462921947,0.817968773,"67.7627936628,21.9254547018,25.6185560012",6,5,5.5,2
2015 Kappe 10.1109/TVCG.2015.2467291 c 2.png,bio723.png,I893,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio723.png,,,,2,8,"black, navyblue, blue, grey, purple, magenta, maroon, darkpurple",9.048328234,1,40,34,4,233,I893,0.5405,0.0169,bio723.png,2.224143061,1,893,234,70,2.5672,5.3996,16.1995,147,Christopher P. Kappe;Lucas Schutz;Stefan Gunther;Lars Hufnagel;Steffen Lemke;Heike Leitte,Reconstruction and Visualization of Coordinated 3D Cell Migration Based on Optical Flow,http://dx.doi.org/10.1109/TVCG.2015.2467291,10.1109/TVCG.2015.2467291,2015,0.160956934,0.073260892,0.251854213,"25.7171780053,-0.493948943841,1.48096361646",4,3,3.5,2
2017 Klein 10.1109/TVCG.2017.2744258 c 4.png,bio842.png,I916,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio842.png,,,,7,20,"white, grey, green, darkgreen, olive, beige, tan, blue, teal, brown, yellow, pink, mauve, orange, purple, lightblue, black, mustard, peach, navyblue",23.2895557,1,45,21,10,237,I916,0.6818,0.0405,bio842.png,2.217651238,1,916,243,61,6.5377,6.1876,16.2346,170,"Tobias Klein, Ludovic Autin, Barbora Kozl√≠kov√°, David S. Goodsell, Arthur Olson, M. Eduard Gr√∂ller, Ivan Viola",Instant Construction and Visualization of Crowded Biological Environments,http://dx.doi.org/10.1109/TVCG.2017.2744258,10.1109/TVCG.2017.2744258,2017,0.743119118,0.047047877,0.879184105,"86.5799733453,2.31227782128,-2.98489186323",5,4,4.5,2
2009 Zachow 10.1109/TVCG.2009.198 c 8.png,bio285.png,I803,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio285.png,,,1,3,8,"white, grey, black, blue, beige, tan, lightblue, yellow",27.73229918,1,38,24,7,247,I803,0.6129,0.0276,bio285.png,2.204184152,1,803,250,61,5.8452,6.2112,16.0286,57,Stefan Zachow;Philipp Muigg;Thomas Hildebrandt;Helmut Doleisch;Hans-Christian Hege,Visual Exploration of Nasal Airflow,http://dx.doi.org/10.1109/TVCG.2009.198,10.1109/TVCG.2009.198,2009,0.607702901,0.538735309,0.767032881,"61.0831824068,1.77962985345,-22.637865352",8,5,6.5,2
2010 Jeong 10.1109/TVCG.2010.168 c 5.png,bio308.png,I808,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio308.png,,,,3,4,"black, grey, white, pink",11.22649986,1,30,31,3,209,I808,0.4918,0.0142,bio308.png,2.171160473,1,808,208,67,2.7251,5.1056,14.0551,62,Won-Ki Jeong;Jens Schneider;Stephen G. Turney;Beverly E. Faulkner-Jones;Dominik Meyer;R√ºdiger Westermann;R. Clay Reid;Jeff Lichtman;Hanspeter Pfister,Interactive Histology of Large-Scale Biomedical Image Stacks,http://dx.doi.org/10.1109/TVCG.2010.168,10.1109/TVCG.2010.168,2010,0.036652696,0.058020155,0.947455767,"93.0930362726,2.27578344299,2.03265297261",6,4,5,2
2010 Jeong 10.1109/TVCG.2010.168 c 3.png,bio306.png,I807,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio306.png,,,,2,11,"purple, mauve, brown, grey, black, maroon, red, darkpurple, navyblue, pink, white",11.53679316,1,33,36,3,221,I807,0.4783,0.0134,bio306.png,2.159997866,1,807,222,61,2.4014,6.7312,17.1651,61,Won-Ki Jeong;Jens Schneider;Stephen G. Turney;Beverly E. Faulkner-Jones;Dominik Meyer;R√ºdiger Westermann;R. Clay Reid;Jeff Lichtman;Hanspeter Pfister,Interactive Histology of Large-Scale Biomedical Image Stacks,http://dx.doi.org/10.1109/TVCG.2010.168,10.1109/TVCG.2010.168,2010,0.755107282,0.048320772,0.596299506,"60.2801324317,0.534172213535,-0.631650667434",6,4,5,2
2016 Nadeem 10.1109/TVCG.2016.2598791 c 7.png,bio794.png,I905,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio794.png,,,,2,20,"white, grey, lightblue, blue, teal, green, darkgreen, beige, tan, yellow, olive, navyblue, black, brown, pink, peach, orange, red, maroon, purple",11.15134353,1,51,11,25,202,I905,0.8226,0.1101,bio794.png,2.151315476,1,905,220,82,3.111,5.2457,4.8701,159,Saad Nadeem;Joseph Marino;Xianfeng Gu;Arie E. Kaufman,Corresponding Supine and Prone Colon Visualization Using Eigenfunction Analysis and Fold Modeling,http://dx.doi.org/10.1109/TVCG.2016.2598791,10.1109/TVCG.2016.2598791,2016,0.738200819,0.201544976,0.694582423,"64.8222366175,3.60129323542,-4.80466452306",7,4,5.5,2
2011 Pelt 10.1109/TVCG.2011.215 c 1.png,bio470.png,I839,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio470.png,,,,2,16,"white, grey, brown, black, maroon, red, mauve, pink, orange, salmon, tan, yellow, beige, green, olive, darkgreen",16.3740033,1,31,30,4,231,I839,0.5082,0.017,bio470.png,2.140627489,1,839,224,65,2.719,7.7309,5.1417,93,Roy van Pelt;Javier Oliv√°n Besc√≥s;Marcel Breeuwer;Rachel E. Clough;Eduard Gr√∂ller;Bart M. ter Haar Romeny;Anna Vilanova,Interactive Virtual Probing of 4D MRI Blood-Flow,http://dx.doi.org/10.1109/TVCG.2011.215,10.1109/TVCG.2011.215,2011,0.067225616,0.096872188,0.886587004,"86.5252655841,2.44410923485,4.90467004173",11,8,9.5,3
2013 Reh 10.1109/TVCG.2013.177 c 1.png,bio626.png,I872,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio626.png,,,,2,4,"white, lightblue, blue, grey",10.1788068,1,30,29,4,228,I872,0.5085,0.0172,bio626.png,2.136659455,1,872,217,76,3.8709,3.8636,4.9958,126,Andreas Reh;Christian Gusenbauer;Johann Kastner;Eduard Gr√∂ller;Christoph Heinzl,MObjects--A Novel Method for the Visualization and Interactive Exploration of Defects in Industrial XCT Data,http://dx.doi.org/10.1109/TVCG.2013.177,10.1109/TVCG.2013.177,2013,0.9781657,0.368200011,0.761579755,"64.5077045399,11.385319831,2.03997955314",8,4,6,2
2013 Ehlke 10.1109/TVCG.2013.159 c 4.png,bio574.png,I861,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio574.png,,,,2,9,"white, grey, navyblue, purple, tan, beige, brown, black, blue",30.67634367,1,44,25,9,232,I861,0.6377,0.0373,bio574.png,2.135233586,1,861,218,67,5.3747,5.217,11.7591,115,Moritz Ehlke;Heiko Ramm;Hans Lamecker;Hans-Christian Hege;Stefan Zachow,Fast Generation of Virtual X-ray Images for Reconstruction of 3D Anatomy,http://dx.doi.org/10.1109/TVCG.2013.159,10.1109/TVCG.2013.159,2013,0.005665036,0.345919015,0.739826305,"65.5966070395,7.22154502888,3.063763462",8,7,7.5,3
2011 Ruiz 10.1109/TVCG.2011.173 c 8.png,bio492.png,I843,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio492.png,,,,2,11,"white, grey, lightblue, blue, green, teal, olive, darkgreen, black, pink, brown",10.35645174,1,43,15,15,204,I843,0.7414,0.0685,bio492.png,2.134723625,1,843,208,81,3.3172,5.0812,8.3727,97,Marc Ruiz;Anton Bardera;Imma Boada;Ivan Viola,Automatic Transfer Functions Based on Informational Divergence,http://dx.doi.org/10.1109/TVCG.2011.173,10.1109/TVCG.2011.173,2011,0.990373186,0.08110437,0.661344282,"65.966928513,1.63124793749,0.434748508458",6,4,5,2
2016 Smit 10.1109/TVCG.2016.2598826 c 1.png,bio801.png,I907,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio801.png,,,,2,13,"white, grey, lightblue, lavender, blue, purple, lightgreen, green, teal, navyblue, darkgreen, darkteal, black",7.557373881,1,28,27,4,218,I907,0.5091,0.018,bio801.png,2.119739725,1,907,200,77,2.2565,4.7628,2.338,161,Noeska N. Smit;Kai Lawonn;Annelot Kraima;Marco DeRuiter;Hessam Sokooti;Stefan Bruckner;Elmar Eisemann;Anna Vilanova,PelVis: Atlas-based Surgical Planning for Oncological Pelvic Surgery,http://dx.doi.org/10.1109/TVCG.2016.2598826,10.1109/TVCG.2016.2598826,2016,0.143111989,0.008231916,0.704577884,"71.5593520144,-0.0824253013453,0.334936550786",2,2,2,1
2013 Zhang 10.1109/TVCG.2013.172 c 2.png,bio629.png,I874,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio629.png,,,,2,3,"black, grey, brown",5.774690504,1,48,12,23,204,I874,0.8,0.1013,bio629.png,2.115800194,1,874,201,77,1.667,3.4946,5.2967,128,Yubo Zhang;Kwan-Liu Ma,Lighting Design for Globally Illuminated Volume Rendering,http://dx.doi.org/10.1109/TVCG.2013.172,10.1109/TVCG.2013.172,2013,0.738452603,0.02989169,0.443553811,"45.0807275484,0.355032475683,-0.476483045384",10,8,9,3
2009 Jeong 10.1109/TVCG.2009.178 c 7.png,bio229.png,I788,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio229.png,,,,2,20,"white, grey, black, brown, pink, blue, purple, tan, beige, lavender, orange, teal, yellow, green, mauve, red, peach, salmon, lightblue, maroon",12.68691554,1,33,16,11,210,I788,0.6735,0.0498,bio229.png,2.09639438,1,788,194,78,4.0716,6.6753,10.1306,42,Won-Ki Jeong;Johanna Beyer;Markus Hadwiger;Amelio V√°zquez Reina;Hanspeter Pfister;Ross T. Whitaker,Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,http://dx.doi.org/10.1109/TVCG.2009.178,10.1109/TVCG.2009.178,2009,0.047665642,0.149528902,0.924107798,"86.5744400976,7.27875849228,8.36377276898",6,4,5,2
2014 Ju 10.1109/TVCG.2014.2346412 c 1.png,bio684.png,I883,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio684.png,,,,2,3,"black, grey, white",13.82665102,1,33,41,3,230,I883,0.4459,0.0129,bio684.png,2.09318211,1,883,202,61,1.982,2.6531,6.1365,137,Tao Ju;Minxin Cheng;Xu Wang;Ye Duan,A Robust Parity Test for Extracting Parallel Vectors in 3D,http://dx.doi.org/10.1109/TVCG.2014.2346412,10.1109/TVCG.2014.2346412,2014,0.848099385,0.075548627,0.889742529,"86.3046105629,2.92932842006,-1.89370363883",4,3,3.5,2
2013 Zhang 10.1109/TVCG.2013.172 c 1.png,bio628.png,I873,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio628.png,,,,2,3,"black, brown, grey",5.535050535,1,53,21,14,204,I873,0.7162,0.0642,bio628.png,2.092031366,1,873,183,71,1.5035,2.3968,5.4296,127,Yubo Zhang;Kwan-Liu Ma,Lighting Design for Globally Illuminated Volume Rendering,http://dx.doi.org/10.1109/TVCG.2013.172,10.1109/TVCG.2013.172,2013,0.119650698,0.041983619,0.76166682,"76.6901332275,-0.190600163165,2.32824919909",3,4,3.5,2
2014 Lindow 10.1109/TVCG.2014.2346404 c 3.png,bio700.png,I887,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio700.png,,,,2,14,"white, grey, lightblue, green, tan, beige, olive, blue, brown, yellow, teal, mustard, offwhite, black",8.532398576,1,21,52,1,248,I887,0.2877,0.004,bio700.png,2.091953342,1,887,221,80,3.2196,3.3916,3.2432,141,Norbert Lindow;Daniel Baum;Hans-Christian Hege,Ligand Excluded Surface: A New Type of Molecular Surface,http://dx.doi.org/10.1109/TVCG.2014.2346404,10.1109/TVCG.2014.2346404,2014,0.131852917,0.176277696,0.626884277,"61.7961094547,-0.831299079683,5.24186074708",6,6,6,2
2010 Saad 10.1109/TVCG.2010.152 c 11.png,bio351.png,I816,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio351.png,,,,2,11,"black, grey, white, pink, lightblue, blue, darkgreen, green, teal, beige, brown",15.18020181,1,37,38,4,222,I816,0.4933,0.0177,bio351.png,2.086957785,1,816,194,70,2.6289,2.4476,3.517,70,Ahmed Saad;Ghassan Hamarneh;Torsten M√∂ller,Exploration and Visualization of Segmentation Uncertainty using Shape and Appearance Prior Information,http://dx.doi.org/10.1109/TVCG.2010.152,10.1109/TVCG.2010.152,2010,0.969103941,0.499304274,0.478525718,"34.2125072714,26.9859372577,5.04939368401",4,3,3.5,2
2014 Mirzargar 10.1109/TVCG.2014.2346455 c 9.png,bio707.png,I889,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio707.png,,,,2,13,"white, grey, navyblue, blue, lavender, purple, lightblue, black, brown, mauve, pink, red, maroon",16.28024129,1,26,35,3,241,I889,0.4262,0.0123,bio707.png,2.061569677,1,889,202,61,4.1144,5.1516,6.4766,143,Mahsa Mirzargar;Ross T. Whitaker;Robert Michael Kirby,Curve Boxplot: Generalization of Boxplot for Ensembles of Curves,http://dx.doi.org/10.1109/TVCG.2014.2346455,10.1109/TVCG.2014.2346455,2014,0.133075568,0.28156816,0.546526235,"50.8115935925,-1.28590888088,8.36648925913",6,7,6.5,2
2010 Tikhonova 10.1109/TVCG.2010.215a c 1.png,bio360.png,I820,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio360.png,,,1,2,13,"white, grey, brown, tan, black, pink, beige, maroon, peach, salmon, mauve, purple, red",12.60746533,1,52,16,22,221,I820,0.7647,0.0905,bio360.png,2.059185527,1,820,189,67,3.684,6.9092,9.5925,74,Anna Tikhonova;Carlos D. Correa;Kwan-Liu Ma,Visualization by Proxy: A Novel Framework for Deferred Interaction with Volume Data,http://dx.doi.org/10.1109/TVCG.2010.215,10.1109/TVCG.2010.215,2010,0.037785254,0.245802616,0.589440019,"55.1389042499,5.83632934094,5.29065269172",5,3,4,2
2008 Wang 10.1109/TVCG.2008.132 c 3.png,bio144.png,I769,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio144.png,,,,2,15,"white, beige, pink, tan, peach, grey, brown, lavender, purple, black, blue, mauve, navyblue, orange, lightpink",10.48523205,1,35,22,9,221,I769,0.614,0.0391,bio144.png,2.050986746,1,769,176,77,3.9267,4.8688,4.8123,23,Yu-Shuen Wang;Tong-Yee Lee;Chiew-Lan Tai,Focus+Context Visualization with Distortion Minimization,http://dx.doi.org/10.1109/TVCG.2008.132,10.1109/TVCG.2008.132,2008,0.62220469,0.056992293,0.946185901,"92.504766139,0.298570661256,-2.66465900171",6,4,5,2
2012 Jönsson 10.1109/TVCG.2012.232 c 1.png,bio534.png,I855,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio534.png,,,,3,13,"grey, black, brown, tan, pink, beige, peach, white, maroon, red, mauve, salmon, purple",20.21875224,1,45,9,31,191,I855,0.8333,0.1396,bio534.png,2.049406384,1,855,177,69,4.5681,6.5632,7.1751,109,Daniel J√∂nsson;Joel Kronander;Timo Ropinski;Anders Ynnerman,Historygrams: Enabling Interactive Global Illumination in Direct Volume Rendering using Photon Mapping,http://dx.doi.org/10.1109/TVCG.2012.232,10.1109/TVCG.2012.232,2012,0.040127601,0.051159346,0.790884364,"78.8972976248,0.870446149287,0.852719794259",5,4,4.5,2
2008 Bürger 10.1109/TVCG.2008.120 c 6.png,bio6.png,I747,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio6.png,,,1,2,14,"white, grey, pink, black, lightblue, tan, blue, brown, green, mauve, purple, lavender, darkgreen, beige",11.35058013,1,40,18,15,218,I747,0.6897,0.0644,bio6.png,2.013851191,1,747,158,71,3.4047,5.7481,8.6293,1,Kai B√ºrger;Jens H. Kr√ºger;R√ºdiger Westermann,Direct Volume Editing,http://dx.doi.org/10.1109/TVCG.2008.120,10.1109/TVCG.2008.120,2008,0.420353832,0.211352758,0.803146489,"79.4208526217,-11.6640437613,3.41234993406",4,3,3.5,2
2012 Fout 10.1109/TVCG.2012.222 c 2.png,bio514.png,I849,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio514.png,,,,2,8,"white, grey, green, lightblue, teal, darkgreen, blue, lightgreen",10.58529028,1,40,30,8,228,I849,0.5714,0.0339,bio514.png,2.006273362,1,849,161,67,3.8691,5.3438,7.8787,103,Markus H√∂ferlin;Kuno Kurzhals;Benjamin H√∂ferlin;Gunther Heidemann;Daniel Weiskopf,Evaluation of Fast-Forward Video Visualization,http://dx.doi.org/10.1109/TVCG.2012.222,10.1109/TVCG.2012.222,2012,0.025856875,0.131926592,0.248055503,"22.3683580639,2.92060377635,2.00585493757",6,7,6.5,2
2013 Jackson 10.1109/TVCG.2013.121 c 12.png,bio590.png,I864,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio590.png,,,,3,23,"grey, mauve, brown, pink, purple, black, red, maroon, darkgreen, darkpurple, white, lightblue, green, olive, teal, blue, navyblue, tan, peach, salmon, lavender, orange, beige",16.37135012,1,53,18,22,223,I864,0.7465,0.0898,bio590.png,2.005503862,2,864,186,79,2.4462,6.5296,13.3783,118,Bret Jackson;Tung Yuen Lau;David Schroeder;Kimani C. Toussaint;Daniel F. Keefe,A Lightweight Tangible 3D Interface for Interactive Visualization of Thin fiber Structures,http://dx.doi.org/10.1109/TVCG.2013.121,10.1109/TVCG.2013.121,2013,0.065233248,0.019188984,0.927043374,"92.4506311908,0.329702851807,0.648754379582",5,4,4.5,2
